timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680193012443,2944,HTTP Request,200,OK,newuser 1-29,text,true,,165127,240,500,500,https://www.rokomari.com/book,1635,0,1549
1680193012443,1712,HTTP Request-0,301,Moved Permanently,newuser 1-29,,true,,902,118,500,500,https://www.rokomari.com/,1635,0,1549
1680193014327,1060,HTTP Request-1,200,OK,newuser 1-29,text,true,,164225,122,500,500,https://www.rokomari.com/book,106,0,0
1680193013668,5449,HTTP Request,200,OK,newuser 1-348,text,true,,165125,240,499,499,https://www.rokomari.com/book,333,0,241
1680193013668,543,HTTP Request-0,301,Moved Permanently,newuser 1-348,,true,,898,118,499,499,https://www.rokomari.com/,333,0,241
1680193014212,4905,HTTP Request-1,200,OK,newuser 1-348,text,true,,164227,122,499,499,https://www.rokomari.com/book,92,0,0
1680193014559,5064,HTTP Request,200,OK,newuser 1-410,text,true,,165119,240,498,498,https://www.rokomari.com/book,236,0,136
1680193014559,236,HTTP Request-0,301,Moved Permanently,newuser 1-410,,true,,894,118,498,498,https://www.rokomari.com/,236,0,136
1680193014795,4828,HTTP Request-1,200,OK,newuser 1-410,text,true,,164225,122,498,498,https://www.rokomari.com/book,183,0,0
1680193012437,7411,HTTP Request,200,OK,newuser 1-17,text,true,,165129,240,497,497,https://www.rokomari.com/book,4650,0,4545
1680193012437,4650,HTTP Request-0,301,Moved Permanently,newuser 1-17,,true,,896,118,497,497,https://www.rokomari.com/,4650,0,4545
1680193017087,2761,HTTP Request-1,200,OK,newuser 1-17,text,true,,164233,122,497,497,https://www.rokomari.com/book,478,0,0
1680193012471,7700,HTTP Request,200,OK,newuser 1-41,text,true,,165127,240,496,496,https://www.rokomari.com/book,4477,0,4371
1680193012471,4477,HTTP Request-0,301,Moved Permanently,newuser 1-41,,true,,904,118,496,496,https://www.rokomari.com/,4477,0,4371
1680193016948,3223,HTTP Request-1,200,OK,newuser 1-41,text,true,,164223,122,496,496,https://www.rokomari.com/book,188,0,0
1680193012486,7801,HTTP Request,200,OK,newuser 1-70,text,true,,165127,240,495,495,https://www.rokomari.com/book,4892,0,3920
1680193012486,4892,HTTP Request-0,301,Moved Permanently,newuser 1-70,,true,,900,118,495,495,https://www.rokomari.com/,4892,0,3920
1680193017378,2909,HTTP Request-1,200,OK,newuser 1-70,text,true,,164227,122,495,495,https://www.rokomari.com/book,112,0,0
1680193013017,7403,HTTP Request,200,OK,newuser 1-231,text,true,,165131,240,494,494,https://www.rokomari.com/book,3161,0,3047
1680193013017,3161,HTTP Request-0,301,Moved Permanently,newuser 1-231,,true,,900,118,494,494,https://www.rokomari.com/,3161,0,3047
1680193016178,4242,HTTP Request-1,200,OK,newuser 1-231,text,true,,164231,122,494,494,https://www.rokomari.com/book,120,0,0
1680193013607,6841,HTTP Request,200,OK,newuser 1-310,text,true,,165133,240,493,493,https://www.rokomari.com/book,1611,0,1501
1680193013607,1611,HTTP Request-0,301,Moved Permanently,newuser 1-310,,true,,904,118,493,493,https://www.rokomari.com/,1611,0,1501
1680193015218,5230,HTTP Request-1,200,OK,newuser 1-310,text,true,,164229,122,493,493,https://www.rokomari.com/book,121,0,0
1680193012686,7996,HTTP Request,200,OK,newuser 1-143,text,true,,165131,240,492,492,https://www.rokomari.com/book,5386,0,5009
1680193012686,5386,HTTP Request-0,301,Moved Permanently,newuser 1-143,,true,,900,118,492,492,https://www.rokomari.com/,5386,0,5009
1680193018072,2610,HTTP Request-1,200,OK,newuser 1-143,text,true,,164231,122,492,492,https://www.rokomari.com/book,141,0,0
1680193013588,7279,HTTP Request,200,OK,newuser 1-279,text,true,,165131,240,491,491,https://www.rokomari.com/book,5450,0,2403
1680193013588,5450,HTTP Request-0,301,Moved Permanently,newuser 1-279,,true,,902,118,491,491,https://www.rokomari.com/,5450,0,2403
1680193019039,1828,HTTP Request-1,200,OK,newuser 1-279,text,true,,164229,122,491,491,https://www.rokomari.com/book,112,0,0
1680193013708,7173,HTTP Request,200,OK,newuser 1-371,text,true,,165123,240,490,490,https://www.rokomari.com/book,1046,0,715
1680193013708,1046,HTTP Request-0,301,Moved Permanently,newuser 1-371,,true,,896,118,490,490,https://www.rokomari.com/,1046,0,715
1680193014754,6127,HTTP Request-1,200,OK,newuser 1-371,text,true,,164227,122,490,490,https://www.rokomari.com/book,203,0,0
1680193012505,8616,HTTP Request,200,OK,newuser 1-77,text,true,,165135,240,489,489,https://www.rokomari.com/book,4196,0,4089
1680193012505,4196,HTTP Request-0,301,Moved Permanently,newuser 1-77,,true,,906,118,489,489,https://www.rokomari.com/,4196,0,4089
1680193016701,4420,HTTP Request-1,200,OK,newuser 1-77,text,true,,164229,122,489,489,https://www.rokomari.com/book,148,0,0
1680193014566,6603,HTTP Request,200,OK,newuser 1-417,text,true,,165128,240,488,488,https://www.rokomari.com/book,868,0,712
1680193014566,868,HTTP Request-0,301,Moved Permanently,newuser 1-417,,true,,900,118,488,488,https://www.rokomari.com/,868,0,712
1680193015435,5734,HTTP Request-1,200,OK,newuser 1-417,text,true,,164228,122,488,488,https://www.rokomari.com/book,114,0,0
1680193014604,6596,HTTP Request,200,OK,newuser 1-449,text,true,,165125,240,487,487,https://www.rokomari.com/book,4046,0,1986
1680193014604,4046,HTTP Request-0,301,Moved Permanently,newuser 1-449,,true,,898,118,487,487,https://www.rokomari.com/,4046,0,1986
1680193018650,2550,HTTP Request-1,200,OK,newuser 1-449,text,true,,164227,122,487,487,https://www.rokomari.com/book,109,0,0
